StudentID,name,surname,email,address
1,Juliet,Fitzgerald,email1@yahoo.com,address1
2,Aadam ,Reader,email2@yahoo.com,address2
3,Usmaan,Finnegan,email3@yahoo.com,address3
4,Brielle,Adamson,email4@yahoo.com,address4
5,Teddie,Nielsen,email5@yahoo.com,address5
6,Kiera,Avila,email6@yahoo.com,address6
7,Poppie,Tucker,email7@yahoo.com,address7
8,Chelsea ,Cardenas,email8@yahoo.com,address8
9,Mark ,Mitchell IV,email9@yahoo.com,address9
10,Michael ,Campbell,email10@yahoo.com,address10
11,Dana ,Ramirez,email11@yahoo.com,address11
12,Raymond ,Blake,email12@yahoo.com,address12
13,Eric ,Baker,email13@yahoo.com,address13
14,Brenda ,Guzman,email14@yahoo.com,address14
15,Nicholas ,Hernandez,email15@yahoo.com,address15
16,Sarah ,Ramirez,email16@yahoo.com,address16
17,Emily ,Jenkins,email17@yahoo.com,address17
18,Nicole ,Pennington,email18@yahoo.com,address18
19,Jennifer ,Stark,email19@yahoo.com,address19
20,Rebecca ,Dixon,email20@yahoo.com,address20
21,Sean ,Dixon,email21@yahoo.com,address21
22,Jamie ,White,email22@yahoo.com,address22
23,Benjamin ,Hunt,email23@yahoo.com,address23
24,Nancy,Tyler,email24@yahoo.com,address24
25,William ,Tyler,email25@yahoo.com,address25
26,Nicole ,Gamble,email26@yahoo.com,address26
27,Robert, Hall,email27@yahoo.com,address27
